CxG,schematicity,Premise,Hypothesis,Gold,Prediction
let-alone,substantive,"Mr Brown claimed that the Government had failed to face the failures of the present, let alone the challenges of the future.",The Government always owns up to failures committed by them throughout the years and everyone else agrees.,2,2
let-alone,substantive,"Mr Brown claimed that the Government had failed to face the failures of the present, let alone the challenges of the future.",Mr. Brown stated that the Government is not prepared to face the challenges of the future.,0,0
let-alone,substantive,There must have been text books around at one time but I can not even identify any titles let alone suppliers.,The speaker does not often read text books if they cannot identify any.,1,2
let-alone,substantive,There must have been text books around at one time but I can not even identify any titles let alone suppliers.,"The speaker knows a lot about text books, including their titles and where they might come from.",2,1
let-alone,substantive,There must have been text books around at one time but I can not even identify any titles let alone suppliers.,"The speaker can deduce textbooks exist, but cannot identify any titles or thier suppliers.",0,0
let-alone,substantive,"Most of my friends haven't been outside Australia, let alone been all over the world.",I have friends who have been to other countries outside Australia.,1,0
let-alone,substantive,"Most of my friends haven't been outside Australia, let alone been all over the world.",I only have friends who have been to countries outside Australia.,2,1
let-alone,substantive,"Most of my friends haven't been outside Australia, let alone been all over the world.","I have a lot of friends who haven't traveled around the world, or even been outside Australia.",0,0
way-manner,partial,"As she felt her way forward, suddenly a knight on horseback galloped past her.",She was moving forward when a knight on horseback almost ran her over.,1,0
way-manner,partial,"As she felt her way forward, suddenly a knight on horseback galloped past her.","As she was moving forward, a knight on horseback stopped to help her along.",2,1
way-manner,partial,"As she felt her way forward, suddenly a knight on horseback galloped past her.","As she was moving forward, a knight on horseback went past her.",0,0
way-manner,partial,If you type in the following program exactly as listed and run it you will see a fascinating pattern snake its way across your screen.,A snake-like pattern might appear on your screen when you run a specific program into your personal computer.,1,0
way-manner,partial,If you type in the following program exactly as listed and run it you will see a fascinating pattern snake its way across your screen.,"Nothing shows up on your computer when you run this specific program, much less something that resembles a snake.",2,2
way-manner,partial,If you type in the following program exactly as listed and run it you will see a fascinating pattern snake its way across your screen.,There's a cool snake pattern that could appear on your screen when you follow the given program and run it exactly right.,0,0
way-manner,partial,Thus a miner who slipped from the worn and greasy rungs was liable to fall a long way and a dropped tool could clatter its way down to cause death or injury to some fellow below.,A miner has tools that are valuable and costly to replace if dropped from high above while climbing.,1,1
way-manner,partial,Thus a miner who slipped from the worn and greasy rungs was liable to fall a long way and a dropped tool could clatter its way down to cause death or injury to some fellow below.,"A miner does not usually have tools that could ever cause injury to others, even if they were to be climbing high above someone below them and slip on a ladder.",2,2
way-manner,partial,Thus a miner who slipped from the worn and greasy rungs was liable to fall a long way and a dropped tool could clatter its way down to cause death or injury to some fellow below.,A miner could cause death or injury to an unsuspecting personal below them if they were to slip from worn out rungs and fall or drop a tool from their person.,0,0
way-manner,partial,"She stared from one to the other, feeling apprehension shiver its cold way along her spine.","She stared from one to the other, feeling apprehension at their suggestion that she go out without a coat.",1,0
way-manner,partial,"She stared from one to the other, feeling apprehension shiver its cold way along her spine.","Staring from one to the other, the girl felt only confidence and strength in her body.",2,2
way-manner,partial,"She stared from one to the other, feeling apprehension shiver its cold way along her spine.",She felt apprehension course through her body as she stared from one to the other.,0,0
way-manner,partial,We picked out all of the best songs from the tapes and sang our way across the rest of Europe.,We picked out all of the best songs from our favorite German operas and sang our way across the rest of Europe.,1,0
way-manner,partial,We picked out all of the best songs from the tapes and sang our way across the rest of Europe.,We sat in uncomfortable silence as we travelled across the rest of Europe.,2,2
way-manner,partial,We picked out all of the best songs from the tapes and sang our way across the rest of Europe.,We had tapes playing the best picked songs we sang to across our trip of Europe.,0,0
way-manner,partial,"She was a big, bosomy woman who couldn't work without a box of biscuits on the desk beside her, and Sarella could hear her now, crunching her way through them.","Big, bosomy women love to eat a box of bisuits near them at work, even though coworkers can hear them crunching away the whole time.",1,0
way-manner,partial,"She was a big, bosomy woman who couldn't work without a box of biscuits on the desk beside her, and Sarella could hear her now, crunching her way through them.","She was a big, bosomy woman who could work without a box of biscuits on the desk beside her, and Sarella could hear how quiet it was without her crunching through them.",2,1
way-manner,partial,"She was a big, bosomy woman who couldn't work without a box of biscuits on the desk beside her, and Sarella could hear her now, crunching her way through them.","Sarella could hear her now, a big, bosomy woman crunching her way through a box of biscuits on her desk beside her she couldn't work without.",0,0
way-manner,partial,A middle-aged man eased his way into the room.,A man who was no longer young moved carefully into a particular room.,1,0
way-manner,partial,A middle-aged man eased his way into the room.,A middle-aged man could not get into the room.,2,1
way-manner,partial,A middle-aged man eased his way into the room.,A man of maybe fifty years moved carefully into the room.,0,0
way-manner,partial,I yawned my way back to the Narrow Neck.,I yawned three times on my journey to the Narrow Neck.,1,1
way-manner,partial,I yawned my way back to the Narrow Neck.,I was energized on my way back to Narrow Neck.,2,2
way-manner,partial,I yawned my way back to the Narrow Neck.,I yawned at least once on my journey back to the Narrow Neck.,0,0
way-manner,partial,It was an easy matter to buy my way on to the same flight.,I bought my flight ticket with ease onto the same flight as other passengers.,1,0
way-manner,partial,It was an easy matter to buy my way on to the same flight.,It was a hard feat to buy my way onto the same flight.,2,1
way-manner,partial,It was an easy matter to buy my way on to the same flight.,It came easily for me to buy a ticket on the same flight.,0,0
way-manner,partial,Constance squeezed her way down the platform looking for the first-class carriages.,Constance was looking for first-class carriages to take a ride on.,1,0
way-manner,partial,Constance squeezed her way down the platform looking for the first-class carriages.,Constance waited in line for the first-class carriages.,2,1
way-manner,partial,Constance squeezed her way down the platform looking for the first-class carriages.,Constance was looking for first-class carriages as she squeezed her way down to the platform.,0,0
way-manner,partial,The practical man thought his way through these apparent obstacles.,The practical man thought about the obstacles to his finding an affordable home.,1,1
way-manner,partial,The practical man thought his way through these apparent obstacles.,The careless man did not have to think about his easy going life.,2,1
way-manner,partial,The practical man thought his way through these apparent obstacles.,The practical man had obstacles he could think his way through.,0,0
resultative,schematic,"The research for this article was MADE possible by grants from the Wenner-Gren Foundation , the Institute of Turkish Studies , and the Sachar Fund of Brandeis University .","The research for this article was MADE possible by record-breakingly enormous grants from the Wenner-Gren Foundation , the Institute of Turkish Studies , and the Sachar Fund of Brandeis University .",1,0
resultative,schematic,"The research for this article was MADE possible by grants from the Wenner-Gren Foundation , the Institute of Turkish Studies , and the Sachar Fund of Brandeis University .","The research for this article was not made possible by grants from the following organizations: the Wenner-Gren Foundation , the Institute of Turkish Studies , and the Sachar Fund of Brandeis University.",2,2
resultative,schematic,"The research for this article was MADE possible by grants from the Wenner-Gren Foundation , the Institute of Turkish Studies , and the Sachar Fund of Brandeis University .","The Wenner-Gren Foundation , the Institute of Turkish Studies , and the Sachar Fund of Brandeis University all made grants to a research article that was only possible because of them.",0,0
resultative,schematic,The Court 's apparent detachment from politics is MADE possible by its nonelective status .,The Court 's apparent detachment from politics is clear from the stately décor of the courtroom.,1,1
resultative,schematic,The Court 's apparent detachment from politics is MADE possible by its nonelective status .,The Court 's apparent attachment to politics is made possible by its elective status .,2,2
resultative,schematic,The Court 's apparent detachment from politics is MADE possible by its nonelective status .,The Court has a nonelective status that makes their apparent detachment from politics possible.,0,0
resultative,schematic,Justin Timberlake MAKES Alcoholism Fun In The New Rom-Com The Last Drop,Justin Timberlake sings a hit song in a new rom-com called The Last Drop that deals with alcoholism.,1,0
resultative,schematic,Justin Timberlake MAKES Alcoholism Fun In The New Rom-Com The Last Drop,Justin Timberlake does not make alcoholism look fun in the old rom-com The Last Drop.,2,2
resultative,schematic,Justin Timberlake MAKES Alcoholism Fun In The New Rom-Com The Last Drop,Justin Timberlake is in a new rom-com called The Last Drop where he makes alcoholism interesting.,0,0
resultative,schematic,This nice man probably just wanted Mother to KISS him unconscious.,This nice man has a mother who will kiss him to the point of unconsciousness.,1,0
resultative,schematic,This nice man probably just wanted Mother to KISS him unconscious.,This bad man has a mother that he never wants to lay a kiss on him.,2,2
resultative,schematic,This nice man probably just wanted Mother to KISS him unconscious.,"This nice man probably just wanted Mother to kiss him, causing him to be unconscious.",0,0
resultative,schematic,I had BRUSHED my hair very smooth.,I had brushed my hair until it felt soft.,1,0
resultative,schematic,I had BRUSHED my hair very smooth.,I had brushed my nonexistent hair roughly.,2,2
resultative,schematic,I had BRUSHED my hair very smooth.,I had very smooth hair because I brushed it.,0,0
resultative,schematic,You KILLED it stone-dead.,You killed someone.,1,0
resultative,schematic,You KILLED it stone-dead.,You caused it to be more alive.,2,2
resultative,schematic,You KILLED it stone-dead.,It was stone-dead as a result of you killing it.,0,0
resultative,schematic,The tools were WIPED clean.,The tools were cleaned with a cloth.,1,0
resultative,schematic,The tools were WIPED clean.,The tools were extremely dirty.,2,2
resultative,schematic,The tools were WIPED clean.,The tools were clean because they were wiped.,0,0
resultative,schematic,The river FROZE solid.,The river was cold.,1,0
resultative,schematic,The river FROZE solid.,The river had melted into liquid.,2,2
resultative,schematic,The river FROZE solid.,The river is frozen solid.,0,0
resultative,schematic,It BROKE apart.,It broke into pieces by hand.,1,0
resultative,schematic,It BROKE apart.,It was put together.,2,2
resultative,schematic,It BROKE apart.,It was severed into more than one piece.,0,0
resultative,schematic,He HAMMERED the metal flat.,He was making a sword by hammering metal.,1,0
resultative,schematic,He HAMMERED the metal flat.,He enflated the metal into a balloon.,2,2
resultative,schematic,He HAMMERED the metal flat.,He flattened the metal by hammering.,0,0
resultative,schematic,The dog BARKED the chickens awake.,The dog likes to wake the chickens up by barking.,1,0
resultative,schematic,The dog BARKED the chickens awake.,The dog was silent because there were chickens.,2,2
resultative,schematic,The dog BARKED the chickens awake.,The chickens woke to the dog's bark.,0,0
resultative,schematic,Terry WIPED the table clean.,Terry had cleaned the table to eat.,1,0
resultative,schematic,Terry WIPED the table clean.,Terry wiped the table with a greasy rag until it was black.,2,2
resultative,schematic,Terry WIPED the table clean.,The table was clean because Terry wiped it down.,0,0
resultative,schematic,Terry PUSHED the door shut.,Terry closed the door with his side.,1,0
resultative,schematic,Terry PUSHED the door shut.,Terry opened the door wide.,2,2
resultative,schematic,Terry PUSHED the door shut.,Terry shut the door by pushing it closed.,0,0
resultative,schematic,He ATE himself sick.,He ate questionably fresh shellfish.,1,2
resultative,schematic,He ATE himself sick.,He didn't eat.,2,2
resultative,schematic,He ATE himself sick.,He felt sick from eating.,0,0
resultative,schematic,She COUGHED herself sick.,She coughed too much from choking.,1,0
resultative,schematic,She COUGHED herself sick.,Her coughing resulted in her feeling better.,2,2
resultative,schematic,She COUGHED herself sick.,She got sick from coughing.,0,0
resultative,schematic,The jackhammer POUNDED us deaf.,The jackhammer pounding sometimes reaches 130 decibels.,1,0
resultative,schematic,The jackhammer POUNDED us deaf.,The jackhammer was easy on our ears.,2,2
resultative,schematic,The jackhammer POUNDED us deaf.,We were deaf from the jackhammering.,0,0
resultative,schematic,Water FILLED the tub half full.,The half-full tub was dirty.,1,0
resultative,schematic,Water FILLED the tub half full.,Water drained from the tub.,2,2
resultative,schematic,Water FILLED the tub half full.,The tub was half full of water.,0,0
resultative,schematic,The sleeping pills MADE me sick.,I took sleeping pills before bed.,1,0
resultative,schematic,The sleeping pills MADE me sick.,The sleeping pills make me feel good.,2,2
resultative,schematic,The sleeping pills MADE me sick.,I was sick from the sleeping pills I took.,0,0
resultative,schematic,Harry SHOT Sam dead.,Harry hated Sam all of his life.,1,0
resultative,schematic,Harry SHOT Sam dead.,Harry saved Sam's life.,2,2
resultative,schematic,Harry SHOT Sam dead.,Sam died from the shot Harry took.,0,0
resultative,schematic,Sam TALKED himself hoarse.,Sam likes to talk.,1,0
resultative,schematic,Sam TALKED himself hoarse.,Sam's talking made his voice clearer.,2,2
resultative,schematic,Sam TALKED himself hoarse.,Sam's voice was hoarse from talking.,0,0
resultative,schematic,He PAINTED his house a bright shade of red.,His house was previously a darker color.,1,0
resultative,schematic,He PAINTED his house a bright shade of red.,He scraped off the red paint from his house.,2,2
resultative,schematic,He PAINTED his house a bright shade of red.,His house was bright red from paint.,0,0
resultative,schematic,She KICKED the door open.,She needed to get into the house quickly.,1,0
resultative,schematic,She KICKED the door open.,She slowly opened the door.,2,2
resultative,schematic,She KICKED the door open.,The door was open from her kick.,0,0
conative,partial,She tugged at the glass door.,She had a sliding glass door to her backyard.,1,1
conative,partial,She tugged at the glass door.,She made no motion towards the glass door.,2,2
conative,partial,She tugged at the glass door.,She attempted to tug the glass door.,0,0
conative,partial,He tugged at the puppy's ears.,He had a puppy with long ears.,1,0
conative,partial,He tugged at the puppy's ears.,He pushed the puppy's ears.,2,2
conative,partial,He tugged at the puppy's ears.,The puppy's ears were tugged by him.,0,0
conative,partial,"I kicked at the door a couple of times, but it didn't budge.",I tried to break my door down to leave my house.,1,2
conative,partial,"I kicked at the door a couple of times, but it didn't budge.",The door swung open immediately from one kick.,2,2
conative,partial,"I kicked at the door a couple of times, but it didn't budge.",The door didn't budge from my multiple kicks at it.,0,0
conative,partial,Henry Edison kicked at the tire on the old automobile.,Henry Edison had gotten a flat on his old automobile.,1,1
conative,partial,Henry Edison kicked at the tire on the old automobile.,Hendy Edison shined his tire on his new automobile.,2,2
conative,partial,Henry Edison kicked at the tire on the old automobile.,Henry Edison tried to kick the tire on the old automobile.,0,0
conative,partial,Luke kicked at the chair leg with the toe of his leather half-boot.,Luke tested the durability of the chair with his shoe.,1,1
conative,partial,Luke kicked at the chair leg with the toe of his leather half-boot.,Luke pushed the chair away with his tennis shoe.,2,2
conative,partial,Luke kicked at the chair leg with the toe of his leather half-boot.,The chair leg was kicked at with Luke's toe of his leather half-boot.,0,0
conative,partial,He looked down and poked at the keyboard.,He was typing on his computer.,1,1
conative,partial,He looked down and poked at the keyboard.,He looked up at his computer screen.,2,1
conative,partial,He looked down and poked at the keyboard.,He looked down and made poking motions in the direction of the keyboard.,0,0
conative,partial,Mary Elizabeth jumped up and poked at the potatoes.,Mary Elizabeth was testing the softness of the potatoes.,1,0
conative,partial,Mary Elizabeth jumped up and poked at the potatoes.,Mary Elizabeth stared at the potatoes but made no move towards them.,2,2
conative,partial,Mary Elizabeth jumped up and poked at the potatoes.,The potatoes were poked at as Mary Elizabeth jumped up.,0,0
conative,partial,I poked at the ice cubes in my drink.,I had a straw in my cold drink.,1,1
conative,partial,I poked at the ice cubes in my drink.,I left the ice cubes in my drink alone.,2,2
conative,partial,I poked at the ice cubes in my drink.,I moved around ice cubes in my drink.,0,0
conative,partial,Marco lost his balance and grabbed at the ladder railing.,Marco had been up very high on a ladder.,1,1
conative,partial,Marco lost his balance and grabbed at the ladder railing.,Marco maintained balance and didn't need the ladder railing.,2,2
conative,partial,Marco lost his balance and grabbed at the ladder railing.,Marco grabbed at the ladder railing as he lost his balance.,0,0
conative,partial,I pushed at the springs with the palms of my hands.,I tried to fix the springs in the toy.,1,0
conative,partial,I pushed at the springs with the palms of my hands.,I released the springs with the tips of my fingers.,2,2
conative,partial,I pushed at the springs with the palms of my hands.,I pushed the palms of my hands against the springs.,0,0
conative,partial,His belly pushed at the buttons of his white and blue Aloha shirt.,His belly pushed at the buttons of the hotel elevator through his shirt.,1,1
conative,partial,His belly pushed at the buttons of his white and blue Aloha shirt.,The white and blue Aloha shirt hung on his thin frame.,2,1
conative,partial,His belly pushed at the buttons of his white and blue Aloha shirt.,The white and blue Aloha shirt buttons stretched over his belly.,0,0
conative,partial,He pushed at the doorbell.,He wanted to see if someone was home.,1,0
conative,partial,He pushed at the doorbell.,He hovered over the doorbell.,2,1
conative,partial,He pushed at the doorbell.,The doorbell was pushed at by him.,0,0
conative,partial,"I took a washcloth and wet it, then rubbed at the mark.",I had a mark on my body I needed to wash off.,1,0
conative,partial,"I took a washcloth and wet it, then rubbed at the mark.",I took a dry washcloth and hovered over the mark.,2,2
conative,partial,"I took a washcloth and wet it, then rubbed at the mark.",I rubbed at the mark with a wet washcloth.,0,0
conative,partial,He rubbed at the raw bite wound on his throat.,He had a fresh bite on his neck.,1,0
conative,partial,He rubbed at the raw bite wound on his throat.,His rubbing came nowhere close to the raw bite wound on his throat.,2,2
conative,partial,He rubbed at the raw bite wound on his throat.,His throat had a raw bite wound he rubbed at.,0,0
conative,partial,I rubbed at the ache in my neck.,I slept on my neck wrong.,1,0
conative,partial,I rubbed at the ache in my neck.,I didn't touch my alleviated neck.,2,2
conative,partial,I rubbed at the ache in my neck.,I had an ache in my neck I rubbed at.,0,0
conative,partial,Lily plucked at the ribbons on her dress.,Lily was wearing a decorated dress.,1,1
conative,partial,Lily plucked at the ribbons on her dress.,Lily made no attempt to touch the ribbons on her dress.,2,2
conative,partial,Lily plucked at the ribbons on her dress.,There were ribbons on Lily's dress she plucked at.,0,0
conative,partial,He stabbed at the last part of the equation.,The last part of the equation was the most complex.,1,1
conative,partial,He stabbed at the last part of the equation.,He drew attention away from the last part of the equation.,2,1
conative,partial,He stabbed at the last part of the equation.,He made a stabbing gesture towards the last part of the equation.,0,0
conative,partial,I took the plastic dome from my drink and stabbed at the slush with the straw.,I tried to drink the last bits of the slushee with my straw.,1,0
conative,partial,I took the plastic dome from my drink and stabbed at the slush with the straw.,I kept the lid on my drink and slurped the slush with my straw.,2,1
conative,partial,I took the plastic dome from my drink and stabbed at the slush with the straw.,I stabbed at the slush with the straw after I took the lid off my drink.,0,0
conative,partial,"She took the cup and sipped at the coffee, closing her eyes and breathing in the steam.","She enjoyed a cup of hot coffee, as it warmed her face and hands.",1,0
conative,partial,"She took the cup and sipped at the coffee, closing her eyes and breathing in the steam.","She took the cold cup and didn't drink it, realizing her coffee was cold.",2,2
conative,partial,"She took the cup and sipped at the coffee, closing her eyes and breathing in the steam.","She took the cup and closed her eyes, as she breathed in the steam of her cup of coffee she was sipping.",0,0
conative,partial,I sipped at the Heineken.,I had a bottle of beer.,1,0
conative,partial,I sipped at the Heineken.,I spit out the Heineken.,2,2
conative,partial,I sipped at the Heineken.,I had some Heineken.,0,0
conative,partial,He raised his glass and sipped at the champagne with everyone else.,He toasted together with everyone using glasses of champagne.,1,0
conative,partial,He raised his glass and sipped at the champagne with everyone else.,He lowered his glass and didn't sip the champagne with everyone else.,2,2
conative,partial,He raised his glass and sipped at the champagne with everyone else.,"With everyone else, he tasted the champagne and raised his glass.",0,0
conative,partial,Phil nibbled at the cake.,Phil was too full for cake.,1,2
conative,partial,Phil nibbled at the cake.,Phil didn't try the cake.,2,2
conative,partial,Phil nibbled at the cake.,Phil ate some cake.,0,0
conative,partial,"He nibbled at the filet, then ate ravenously.",He didn't realize how hungry he was for food.,1,0
conative,partial,"He nibbled at the filet, then ate ravenously.","He took big bites of the filet, then slowed down.",2,1
conative,partial,"He nibbled at the filet, then ate ravenously.","He ate ravenously, after small bites of the filet.",0,0
conative,partial,"He kissed her in return, then brushed at the lipstick he knew she had left behind.","She had worn lipstick that day, not knowing she would be kissed.",1,1
conative,partial,"He kissed her in return, then brushed at the lipstick he knew she had left behind.",He didn't touch her because of the lipstick she had that would smear on him.,2,1
conative,partial,"He kissed her in return, then brushed at the lipstick he knew she had left behind.","He wiped at the lipstick he knew she had left behind, after he had kissed her in return.",0,0
conative,partial,"He studied her face, brushed at the hair that tumbled over her shoulders.",She had long hair past her shoulders that he moved away.,1,0
conative,partial,"He studied her face, brushed at the hair that tumbled over her shoulders.",He didn't look her in the face or touch her hair that tumbled over her shoulders.,2,2
conative,partial,"He studied her face, brushed at the hair that tumbled over her shoulders.","As he studied her face, he made a brushing movement at the hair tumbling over her shoulders.",0,0
conative,partial,Someone hammered at the front door.,Someone was trying to get in the house.,1,0
conative,partial,Someone hammered at the front door.,Someone didn't touch the front door.,2,2
conative,partial,Someone hammered at the front door.,The front door was hammered by someone.,0,0
intransitive-motion,schematic,"We don't want anyone to SLIP through the cracks, spokesman Charles Powell said.",Charles Powell is a spokesman who is speaking on the behalf of others.,1,1
intransitive-motion,schematic,"We don't want anyone to SLIP through the cracks, spokesman Charles Powell said.","We want people to slip through the cracks,  spokesman Charles Powell said.",2,2
intransitive-motion,schematic,"We don't want anyone to SLIP through the cracks, spokesman Charles Powell said.","Spokesman Charles Powell had said, ""We don't want anyone to slip through the cracks.""",0,0
intransitive-motion,schematic,The Weweantic River FLOWS through the pond.,There is a river called the Weantic River.,1,0
intransitive-motion,schematic,The Weweantic River FLOWS through the pond.,The Weweantic River does not flow through the pond.,2,2
intransitive-motion,schematic,The Weweantic River FLOWS through the pond.,Water from the Weweantic River moves through the pond.,0,0
intransitive-motion,schematic,In Cambodia several hundred people MARCHED through the capital Phnom Penh to appeal for an end to growing drug use.,In Cambodia several hundred people MARCHED through the capital to appeal for an end to prescription drug abuse.,1,1
intransitive-motion,schematic,In Cambodia several hundred people MARCHED through the capital Phnom Penh to appeal for an end to growing drug use.,In Cambodia few people walked through the capital Phnom Penh to deny an end to growing drug use.,2,2
intransitive-motion,schematic,In Cambodia several hundred people MARCHED through the capital Phnom Penh to appeal for an end to growing drug use.,Several hundred people marched to appeal the end of growing drug use in Cambodia through the capital Phnom Penh.,0,0
intransitive-motion,schematic,In VERY vivid detail I remember FALLING down the first flight of stairs in my house onto the landing in front of the main door.,"The speaker had great memory of events, but not great balance since they fell down the stairs like that.",1,0
intransitive-motion,schematic,In VERY vivid detail I remember FALLING down the first flight of stairs in my house onto the landing in front of the main door.,I don't remember at all falling down the first flight of stairs in my house onto the landing in front of the main door.,2,2
intransitive-motion,schematic,In VERY vivid detail I remember FALLING down the first flight of stairs in my house onto the landing in front of the main door.,I fell down the first flight of stairs in my house onto the landing in front of the main door and I remember it all in very vivid detail.,0,0
intransitive-motion,schematic,"People who SPILLED over from the ""protest"" attacked their car as it went down Regent Street.",An innocent person was driving down Regent Street when their car was attacked by protestors.,1,0
intransitive-motion,schematic,"People who SPILLED over from the ""protest"" attacked their car as it went down Regent Street.","People who spilled over from the ""protest"" quietly watched their car as it went down Regent Street. (AMR)",2,1
intransitive-motion,schematic,"People who SPILLED over from the ""protest"" attacked their car as it went down Regent Street.","Their car was attacked by people who spilled over from the ""protest"" as it went down Regent Street.",0,0
intransitive-motion,schematic,"Marchers will PROCEED on Pine St. to Broadway, to Market.",Marchers will proceed on Market until they reach the capital building.,1,2
intransitive-motion,schematic,"Marchers will PROCEED on Pine St. to Broadway, to Market.",Marchers will stop at Pine St and not continue to Broadway nor Market.,2,2
intransitive-motion,schematic,"Marchers will PROCEED on Pine St. to Broadway, to Market.","From Pine St., to Broadway, then to Market marchers will continue.",0,0
intransitive-motion,schematic,"Thousands of mine workers and supporters plan to MARCH around the headquarters of Peabody Energy in St. Louis this coming Tuesday, Sept. 24th.","Mine workers and supporters are protesting for fair wages at the Peabody Energy in St. Louis on this coming Tuesday, Sept. 24th.",1,0
intransitive-motion,schematic,"Thousands of mine workers and supporters plan to MARCH around the headquarters of Peabody Energy in St. Louis this coming Tuesday, Sept. 24th.","No mine workers or supporters plan to march around the headquarters of Peabody Energy in St. Louis this coming Tuesday, Sept. 24th.",2,2
intransitive-motion,schematic,"Thousands of mine workers and supporters plan to MARCH around the headquarters of Peabody Energy in St. Louis this coming Tuesday, Sept. 24th.","This coming Tuesday, Sept. 24th at Peabody Energy in St. Louis thousands of mine workers and supporters plan to march around the headquarters.",0,0
intransitive-motion,schematic,"He was beginning to be afraid he had come to the wrong planet , when a coil of gold , the color of the moonlight , FLASHED across the sand .","The man had vistied a totally different planet covered in sand that had looked like the wrong one, when a light flashed across the sand.",1,1
intransitive-motion,schematic,"He was beginning to be afraid he had come to the wrong planet , when a coil of gold , the color of the moonlight , FLASHED across the sand .","He was not afraid that he had come to the wrong planet, when a coil of gold, the color of moonlight, flashed across the sand.",2,0
intransitive-motion,schematic,"He was beginning to be afraid he had come to the wrong planet , when a coil of gold , the color of the moonlight , FLASHED across the sand .","A coil of gold, the color of moonlight, flashed across the sand as he was beginning to be afraid he had come to the wrong planet.",0,0
intransitive-motion,schematic,I RAN around the track.,I run professionally.,1,1
intransitive-motion,schematic,I RAN around the track.,I walked around the track.,2,2
intransitive-motion,schematic,I RAN around the track.,I circled the track by running.,0,0
intransitive-motion,schematic,I DROVE through the tunnel.,I was driving in my car,1,0
intransitive-motion,schematic,I DROVE through the tunnel.,I avoided the tunnel.,2,2
intransitive-motion,schematic,I DROVE through the tunnel.,I went throught the tunnel by driving.,0,0
intransitive-motion,schematic,We DROVE past the hotel.,We DROVE all the way to the next city.,1,1
intransitive-motion,schematic,We DROVE past the hotel.,We drove straight to the hotel.,2,1
intransitive-motion,schematic,We DROVE past the hotel.,We were driving when we went past the hotel.,0,0
intransitive-motion,schematic,The plane FLEW over the Grand Canyon.,The plane flew to its destination of California.,1,1
intransitive-motion,schematic,The plane FLEW over the Grand Canyon.,The plane didn't pass over the Grand Canyon.,2,2
intransitive-motion,schematic,The plane FLEW over the Grand Canyon.,The plane was flying when it went over the Grand Canyon.,0,0
intransitive-motion,schematic,I DRIVE past Watkins Landing every morning and evening .,I pass by Watkins Landing on my way into work and back home.,1,0
intransitive-motion,schematic,I DRIVE past Watkins Landing every morning and evening .,I avoid going past Watkins Landing every morning and evening.,2,2
intransitive-motion,schematic,I DRIVE past Watkins Landing every morning and evening .,My driving route goes past Watkins Landing every morning and evening .,0,0
intransitive-motion,schematic,I COMMUTE back and forth to work on the Huguenot Trail .,I commute by bike to stay healthy and enjoy the views from the Huguenot Trail.,1,1
intransitive-motion,schematic,I COMMUTE back and forth to work on the Huguenot Trail .,I go around the Hugenot Trail as I go back and forth to work.,2,1
intransitive-motion,schematic,I COMMUTE back and forth to work on the Huguenot Trail .,I take the Hugenot Trail back and forth to work.,0,0
intransitive-motion,schematic,"Dade County and federal authorities, learning that he intended to FLY through Miami, made plans to arrest him on the gun-running charges as soon as he hit U.S. soil.","Dade County and federal authorities, who are famous for daring arrests, made plans to arrest him on the gun-running charges as soon as he hit U.S. soil.",1,0
